ad_id,type,area,bedrooms,bathrooms,level,furnished,rent,city,region,price
Ad id 194284763,apartment,260.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,2690000.0
Ad id 194126899,apartment,162.0,3,3,2,no,yes,cairo,rehab city,10000.0
Ad id 194362067,apartment,100.0,3,1,1,no,no,cairo,heliopolis,880000.0
Ad id 192606358,penthouse,175.0,3,3,3,no,no,cairo,new cairo - el tagamoa,2600000.0
Ad id 194125901,apartment,108.0,2,1,2,no,no,alexandria,saba pasha,1100000.0
Ad id 194338239,apartment,173.0,3,2,2,no,no,cairo,new cairo - el tagamoa,191000.0
Ad id 194282603,apartment,209.0,3,3,3,no,yes,giza,6th of october,7000.0
Ad id 194271851,apartment,135.0,3,1,2,no,no,giza,6th of october,1180000.0
Ad id 194353765,apartment,280.0,3,2,3,,no,cairo,nasr city,2350000.0
Ad id 194333203,apartment,115.0,2,1,6,,no,beheira,damanhour,1150000.0
Ad id 194356015,apartment,118.0,3,2,ground,no,no,giza,hadayek al-ahram,85000.0
Ad id 194299861,apartment,117.0,3,1,3,no,no,cairo,new cairo - el tagamoa,170000.0
Ad id 191280811,apartment,130.3,3,2,3,no,no,cairo,mokattam,1192911.0
Ad id 194314334,apartment,150.0,3,2,1,,yes,alexandria,seyouf,3500.0
Ad id 194382139,apartment,175.0,3,3,2,no,no,cairo,new cairo - el tagamoa,1960000.0
Ad id 190218969,apartment,126.0,2,2,ground,,no,cairo,new cairo - el tagamoa,337000.0
Ad id 192259778,apartment,140.0,3,2,2,yes,yes,damietta,new damietta,500.0
Ad id 194111214,apartment,200.0,3,2,7,no,yes,alexandria,bolkly,7500.0
Ad id 194235204,apartment,155.0,3,2,3,,no,cairo,new cairo - el tagamoa,370000.0
Ad id 194314628,apartment,270.0,3,3,1,yes,no,cairo,new cairo - el tagamoa,4500000.0
Ad id 194153313,apartment,125.0,3,2,10+,no,yes,alexandria,miami,4700.0
Ad id 193823063,apartment,186.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,6600000.0
Ad id 194208052,apartment,99.0,2,1,4,yes,yes,cairo,rehab city,15000.0
Ad id 194108051,apartment,130.0,3,2,3,no,yes,cairo,new cairo - el tagamoa,3200.0
Ad id 192552062,duplex,175.0,3,3,10,no,no,alexandria,gianaclis,1450000.0
Ad id 194308502,apartment,69.0,2,1,4,yes,no,cairo,madinaty,1500000.0
Ad id 194145767,apartment,105.0,2,1,2,yes,yes,giza,sheikh zayed,16000.0
Ad id 184547518,apartment,150.0,2,2,ground,,no,cairo,new cairo - el tagamoa,750000.0
Ad id 192653776,apartment,146.0,3,2,4,no,no,cairo,new cairo - el tagamoa,1751300.0
Ad id 180660281,apartment,150.0,3,2,6,no,no,alexandria,smoha,2942750.0
Ad id 194300560,apartment,250.0,3,3,2,no,no,cairo,new cairo - el tagamoa,3750000.0
Ad id 194355693,apartment,184.0,3,3,ground,no,no,cairo,madinaty,3600000.0
Ad id 194270687,apartment,147.0,2,2,ground,no,no,cairo,new cairo - el tagamoa,2300000.0
Ad id 194272099,apartment,190.0,3,2,3,yes,yes,cairo,nasr city,600.0
Ad id 194318576,apartment,150.0,3,2,3,no,no,cairo,new cairo - el tagamoa,2500000.0
Ad id 192378952,apartment,200.0,3,2,2,,yes,giza,faisal,2500.0
Ad id 194167235,apartment,140.0,2,2,6,,yes,cairo,nasr city,3800.0
Ad id 194288457,apartment,148.0,3,3,ground,,no,cairo,new cairo - el tagamoa,330000.0
Ad id 194210810,apartment,110.0,2,1,2,yes,yes,giza,faisal,3000.0
Ad id 194077637,apartment,80.0,2,1,7,no,yes,alexandria,abu qir,1700.0
Ad id 194268345,apartment,189.0,3,3,2,no,no,cairo,new cairo - el tagamoa,6000000.0
Ad id 194267013,apartment,140.0,3,1,4,no,no,giza,6th of october,1200000.0
Ad id 193910103,apartment,120.0,2,1,8,no,yes,alexandria,smoha,5500.0
Ad id 191542968,duplex,255.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,5850000.0
Ad id 194053544,apartment,125.0,2,2,3,yes,yes,alexandria,nakheel,2700.0
Ad id 194283346,apartment,200.0,3,3,ground,,no,cairo,new cairo - el tagamoa,3414000.0
Ad id 194235683,apartment,143.0,3,2,ground,no,yes,giza,sheikh zayed,8500.0
Ad id 194316178,penthouse,230.0,4,3,3,,no,cairo,new cairo - el tagamoa,3181300.0
Ad id 194147642,apartment,212.0,3,2,3,no,no,cairo,new cairo - el tagamoa,3752696.0
Ad id 194163233,apartment,99.0,2,1,3,yes,yes,cairo,rehab city,15000.0
Ad id 194289121,apartment,370.0,3,2,3,,no,cairo,new cairo - el tagamoa,370000.0
Ad id 194316596,apartment,173.0,3,2,ground,no,no,cairo,new cairo - el tagamoa,2768000.0
Ad id 194364468,apartment,140.0,3,2,1,no,no,cairo,badr city,675000.0
Ad id 194303390,apartment,300.0,3,3,6,yes,yes,cairo,new cairo - el tagamoa,32000.0
Ad id 192677848,apartment,180.0,3,3,2,,no,giza,6th of october,490000.0
Ad id 194269695,apartment,172.0,3,3,2,no,no,giza,6th of october,2500000.0
Ad id 194270753,penthouse,135.0,3,2,4,no,no,cairo,new cairo - el tagamoa,4000000.0
Ad id 194302231,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,16000.0
Ad id 190009147,penthouse,202.0,3,3,3,,no,cairo,new cairo - el tagamoa,1400000.0
Ad id 194267754,apartment,200.0,3,3,9,no,no,dakahlia,nabaruh,1800000.0
Ad id 194190080,apartment,120.0,2,1,4,no,yes,giza,faisal,3500.0
Ad id 194130881,apartment,116.0,3,2,4,yes,yes,cairo,madinaty,12000.0
Ad id 194322342,apartment,172.0,3,2,3,no,no,cairo,rehab city,3200000.0
Ad id 194283548,apartment,150.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,7000.0
Ad id 194364960,apartment,180.0,3,3,2,,no,cairo,new cairo - el tagamoa,530000.0
Ad id 194286074,duplex,290.0,3,3,ground,no,no,giza,6th of october,1247000.0
Ad id 194298552,apartment,167.0,3,2,1,no,no,giza,sheikh zayed,450000.0
Ad id 194161619,apartment,131.0,3,2,5,no,yes,cairo,rehab city,8000.0
Ad id 194267523,apartment,160.0,3,3,3,no,yes,cairo,new cairo - el tagamoa,15000.0
Ad id 194232127,apartment,96.0,2,2,3,yes,yes,cairo,madinaty,16000.0
Ad id 194289351,apartment,78.0,2,1,2,no,yes,cairo,madinaty,5000.0
Ad id 194300581,apartment,90.0,2,1,4,no,yes,cairo,bab al-shereia,4500.0
Ad id 193985051,apartment,98.0,2,1,6,yes,yes,alexandria,smoha,12000.0
Ad id 194272471,apartment,85.0,2,1,2,no,no,matruh,marsa matrouh,525000.0
Ad id 194113104,apartment,130.0,2,1,2,yes,yes,cairo,nasr city,750.0
Ad id 193483836,apartment,253.0,5,5,5,no,no,cairo,new cairo - el tagamoa,4612000.0
Ad id 194288258,apartment,220.0,3,3,ground,no,yes,giza,sheikh zayed,13000.0
Ad id 194232387,apartment,142.0,2,2,1,,yes,cairo,new cairo - el tagamoa,19000.0
Ad id 194108921,apartment,108.0,3,2,ground,no,yes,cairo,madinaty,5500.0
Ad id 194250728,penthouse,160.0,3,3,3,no,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 194315888,apartment,173.0,3,3,2,no,no,giza,6th of october,2500000.0
Ad id 194140767,apartment,220.0,3,3,9,no,yes,alexandria,smoha,12500.0
Ad id 194315236,duplex,300.0,3,4,ground,,no,cairo,new cairo - el tagamoa,3450000.0
Ad id 183173994,apartment,175.0,3,3,3,,no,giza,6th of october,1837500.0
Ad id 193307712,room,60.0,1,1,4,yes,yes,qalyubia,musturad,500.0
Ad id 192331334,apartment,255.0,3,3,1,no,no,cairo,new cairo - el tagamoa,21500000.0
Ad id 194189815,apartment,173.0,3,2,ground,,no,cairo,new cairo - el tagamoa,1450000.0
Ad id 194300515,apartment,182.0,3,3,1,no,no,giza,6th of october,330000.0
Ad id 194110187,apartment,200.0,3,2,10,yes,yes,giza,mohandessin,14000.0
Ad id 194363004,apartment,231.0,3,2,1,,no,cairo,new cairo - el tagamoa,470000.0
Ad id 194230959,apartment,207.0,3,3,1,,yes,giza,sheikh zayed,33000.0
Ad id 194317819,apartment,220.0,3,2,ground,no,no,giza,6th of october,1550000.0
Ad id 194294519,apartment,100.0,2,1,1,,no,cairo,new cairo - el tagamoa,945000.0
Ad id 194179511,apartment,160.0,3,2,3,no,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 194322043,apartment,260.0,3,3,10,no,no,cairo,nasr city,3150000.0
Ad id 194252266,apartment,175.0,3,3,6,no,yes,cairo,madinaty,8000.0
Ad id 192597048,apartment,125.0,3,1,10+,yes,yes,alexandria,al ibrahimiyyah,8000.0
Ad id 194256344,apartment,150.0,3,2,5,no,yes,cairo,nasr city,3000.0
Ad id 194097182,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,11000.0
Ad id 194282930,apartment,250.0,3,2,1,,yes,cairo,nasr city,6500.0
Ad id 194128463,apartment,345.0,4,4,ground,,no,giza,sheikh zayed,2800000.0
Ad id 194130733,apartment,170.0,3,2,1,no,no,cairo,new cairo - el tagamoa,2694700.0
Ad id 194236976,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,12000.0
Ad id 194317314,apartment,110.0,2,2,2,no,no,giza,sheikh zayed,1900000.0
Ad id 194164182,apartment,89.0,2,2,3,no,yes,cairo,madinaty,5000.0
Ad id 194315577,apartment,185.0,3,3,2,no,no,cairo,new cairo - el tagamoa,1950000.0
Ad id 194111555,apartment,155.0,3,3,1,yes,yes,cairo,rehab city,10000.0
Ad id 194165123,apartment,63.0,2,1,3,no,yes,giza,sheikh zayed,3500.0
Ad id 187666951,apartment,159.0,2,3,3,no,no,giza,sheikh zayed,4600000.0
Ad id 194286838,apartment,122.0,2,2,3,no,no,cairo,mostakbal city,2207000.0
Ad id 194182996,apartment,119.0,3,3,1,yes,yes,cairo,rehab city,15000.0
Ad id 194357347,apartment,180.0,3,2,4,,no,giza,mohandessin,2200000.0
Ad id 194253820,studio,88.0,1,1,ground,no,no,cairo,new cairo - el tagamoa,2200000.0
Ad id 194200675,apartment,175.0,3,3,6,,no,cairo,madinaty,3200000.0
Ad id 194285162,apartment,199.0,3,3,2,,no,cairo,new cairo - el tagamoa,2200000.0
Ad id 194317307,studio,88.0,1,1,2,,yes,cairo,new cairo - el tagamoa,12000.0
Ad id 151101830,apartment,150.0,3,2,3,yes,yes,aswan,aswan city,8000.0
Ad id 194185249,apartment,90.0,2,1,5,no,yes,cairo,madinaty,4500.0
Ad id 194259535,apartment,120.0,3,1,4,no,no,cairo,nasr city,1600000.0
Ad id 193923018,apartment,335.0,4,5,10+,,yes,alexandria,smoha,13000.0
Ad id 194193276,apartment,140.0,2,2,2,,no,cairo,new cairo - el tagamoa,3466000.0
Ad id 194266455,apartment,300.0,4,3,2,no,yes,cairo,nasr city,22000.0
Ad id 194291212,studio,70.0,1,1,3,yes,yes,cairo,new cairo - el tagamoa,10000.0
Ad id 194249754,apartment,220.0,3,3,3,yes,yes,alexandria,laurent,22000.0
Ad id 194143273,apartment,75.0,2,1,3,no,yes,giza,sheikh zayed,5000.0
Ad id 194298612,apartment,180.0,3,2,2,,yes,cairo,heliopolis,8000.0
Ad id 194246633,apartment,130.0,3,2,4,no,yes,cairo,new cairo - el tagamoa,4350.0
Ad id 179171311,apartment,144.0,3,2,2,,no,cairo,new cairo - el tagamoa,3300000.0
Ad id 194270554,apartment,147.0,2,3,ground,no,no,cairo,new cairo - el tagamoa,136838.0
Ad id 194327672,apartment,96.0,2,2,4,no,no,cairo,madinaty,1900000.0
Ad id 194201078,apartment,278.0,3,4,2,no,yes,cairo,new cairo - el tagamoa,27000.0
Ad id 194305276,apartment,161.0,3,3,6,no,no,cairo,new capital city,3200000.0
Ad id 193412451,apartment,150.0,3,3,2,,no,giza,hadayek 6th of october,695000.0
Ad id 194331648,apartment,170.0,3,3,1,no,no,giza,sheikh zayed,13000000.0
Ad id 194363871,apartment,145.0,3,2,2,,yes,giza,sheikh zayed,13000.0
Ad id 194108431,apartment,300.0,4,3,1,no,yes,cairo,nasr city,20000.0
Ad id 194097179,apartment,240.0,4,3,ground,no,yes,cairo,mostakbal city,20000.0
Ad id 193027065,apartment,96.0,2,1,4,yes,yes,alexandria,smoha,7000.0
Ad id 194319585,apartment,177.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,4500000.0
Ad id 194149887,apartment,175.0,3,3,1,,yes,cairo,new cairo - el tagamoa,13500.0
Ad id 194247702,apartment,700.0,3,2,3,no,no,cairo,obour city,1000000.0
Ad id 194043690,apartment,160.0,3,2,3,no,no,alexandria,smoha,2720000.0
Ad id 192268763,apartment,200.0,3,2,1,,no,cairo,new cairo - el tagamoa,3000000.0
Ad id 194307746,apartment,97.0,2,2,2,no,no,cairo,madinaty,1850000.0
Ad id 194286811,apartment,160.0,3,2,1,no,no,cairo,badr city,650000.0
Ad id 194299264,apartment,115.0,2,2,2,,no,cairo,new cairo - el tagamoa,560000.0
Ad id 194241573,apartment,260.0,4,3,10+,no,yes,cairo,nasr city,15000.0
Ad id 194251655,apartment,82.0,2,1,5,,yes,cairo,madinaty,13500.0
Ad id 194365371,apartment,180.0,3,3,3,no,yes,cairo,rehab city,10500.0
Ad id 193930655,apartment,235.0,3,3,3,no,no,cairo,new cairo - el tagamoa,2350000.0
Ad id 194116968,apartment,96.0,3,1,3,no,yes,cairo,nasr city,2700.0
Ad id 193818948,apartment,145.0,3,2,ground,no,no,cairo,new cairo - el tagamoa,1087500.0
Ad id 194157760,apartment,116.0,3,2,4,no,yes,cairo,madinaty,6000.0
Ad id 194171196,apartment,90.0,2,1,3,yes,yes,alexandria,smoha,450.0
Ad id 194153031,apartment,131.0,2,3,1,no,yes,cairo,madinaty,6700.0
Ad id 194336520,apartment,140.0,3,2,4,no,yes,cairo,madinaty,7000.0
Ad id 190166796,apartment,240.0,3,2,8,yes,yes,alexandria,smoha,9500.0
Ad id 194320014,apartment,90.0,2,1,2,yes,yes,cairo,madinaty,8000.0
Ad id 194272304,apartment,195.0,3,3,4,no,no,cairo,new cairo - el tagamoa,2600000.0
Ad id 194321314,duplex,175.0,3,3,ground,no,no,giza,6th of october,4016517.0
Ad id 194360612,apartment,165.0,3,3,3,no,no,cairo,new cairo - el tagamoa,370000.0
Ad id 194252756,apartment,149.0,2,1,2,,no,cairo,new cairo - el tagamoa,2747000.0
Ad id 194187205,penthouse,135.0,2,2,5,,no,cairo,new cairo - el tagamoa,435000.0
Ad id 194335683,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,22000.0
Ad id 194248004,apartment,110.0,2,1,3,no,no,alexandria,nakheel,325000.0
Ad id 194285219,apartment,190.0,3,3,3,no,no,cairo,new cairo - el tagamoa,1950000.0
Ad id 194290051,apartment,115.0,2,1,2,no,no,cairo,new cairo - el tagamoa,779000.0
Ad id 194144388,apartment,100.0,2,1,2,yes,yes,giza,sheikh zayed,12000.0
Ad id 194276219,apartment,160.0,3,2,2,,yes,cairo,new cairo - el tagamoa,13000.0
Ad id 190746475,apartment,400.0,3,4,5,yes,no,alexandria,glim,10000000.0
Ad id 194104631,apartment,96.0,2,2,2,no,yes,cairo,madinaty,6000.0
Ad id 194111596,apartment,100.0,2,1,ground,no,yes,cairo,new cairo - el tagamoa,3500.0
Ad id 194363359,apartment,190.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,8500.0
Ad id 194161137,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,11000.0
Ad id 194243404,apartment,132.0,2,1,5,yes,no,cairo,mokattam,975000.0
Ad id 194335238,apartment,132.0,3,2,2,no,yes,cairo,nasr city,4240.0
Ad id 194281628,apartment,131.0,3,2,2,yes,yes,cairo,rehab city,14000.0
Ad id 194198483,room,40.0,1,1,ground,yes,yes,cairo,katameya,4400.0
Ad id 194255293,apartment,222.0,3,3,1,,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 192556991,apartment,110.0,3,1,3,yes,yes,cairo,badr city,5500.0
Ad id 194249612,apartment,115.0,3,1,4,no,yes,cairo,new cairo - el tagamoa,3000.0
Ad id 194201748,duplex,234.0,3,3,ground,yes,yes,giza,sheikh zayed,35000.0
Ad id 194212166,apartment,150.0,3,1,10+,no,yes,alexandria,fleming,5000.0
Ad id 194273462,apartment,96.0,2,2,5,yes,no,cairo,madinaty,2200000.0
Ad id 190673205,apartment,220.0,4,3,3,no,no,cairo,nasr city,2000000.0
Ad id 192325606,apartment,115.0,3,1,4,no,yes,giza,6th of october,2900.0
Ad id 194279212,apartment,120.0,3,1,3,no,yes,cairo,nasr city,4000.0
Ad id 194321054,apartment,90.0,2,1,4,no,yes,cairo,nasr city,3700.0
Ad id 194125861,apartment,100.0,3,2,ground,no,yes,cairo,new cairo - el tagamoa,2600.0
Ad id 193763971,apartment,135.0,2,2,2,no,no,cairo,new cairo - el tagamoa,3700000.0
Ad id 194318900,apartment,200.0,3,2,4,no,no,giza,6th of october,1500000.0
Ad id 194316166,apartment,220.0,3,3,4,no,no,giza,6th of october,1650000.0
Ad id 194285725,apartment,135.0,3,2,1,no,no,cairo,badr city,550000.0
Ad id 194349570,duplex,360.0,1,1,1,no,no,cairo,new cairo - el tagamoa,4100000.0
Ad id 194305238,apartment,272.0,4,2,1,,no,cairo,new cairo - el tagamoa,5355000.0
Ad id 194195187,apartment,75.0,2,1,3,yes,yes,alexandria,agami,2500.0
Ad id 194144765,apartment,112.0,3,2,ground,yes,yes,giza,sheikh zayed,14000.0
Ad id 194303094,apartment,204.0,3,2,10,no,no,alexandria,roushdy,3100000.0
Ad id 194318028,apartment,160.0,3,1,2,no,no,giza,sheikh zayed,1600000.0
Ad id 194201935,apartment,170.0,3,3,3,no,no,cairo,new cairo - el tagamoa,2650000.0
Ad id 182367374,apartment,120.0,2,2,3,no,no,cairo,new capital city,195000.0
Ad id 194204011,apartment,152.0,3,3,5,no,no,cairo,new cairo - el tagamoa,2839000.0
Ad id 194151235,apartment,180.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,10000.0
Ad id 194306393,penthouse,305.0,3,5,3,,yes,cairo,new cairo - el tagamoa,25000.0
Ad id 194144200,studio,60.0,1,1,4,yes,yes,giza,sheikh zayed,6000.0
Ad id 194152421,apartment,146.0,2,2,2,no,no,giza,hadayek 6th of october,3400000.0
Ad id 194113759,apartment,196.0,4,3,3,no,yes,cairo,rehab city,13000.0
Ad id 193145793,apartment,110.0,2,1,2,no,yes,giza,giza district,2500.0
Ad id 194329095,apartment,115.0,2,1,ground,,no,alexandria,nakheel,240000.0
Ad id 194186556,apartment,170.0,4,1,2,no,yes,monufia,shebin al-koum,3000.0
Ad id 194318354,apartment,130.0,2,2,ground,,yes,cairo,new cairo - el tagamoa,35000.0
Ad id 194133561,apartment,207.0,3,3,9,yes,yes,alexandria,smoha,15000.0
Ad id 194320465,apartment,129.0,2,2,3,no,no,cairo,new capital city,1235000.0
Ad id 194304224,apartment,210.0,3,3,ground,no,no,giza,hadayek 6th of october,3000000.0
Ad id 194338043,apartment,156.0,3,2,2,no,no,cairo,new capital city,160000.0
Ad id 194155622,apartment,60.0,1,1,3,yes,yes,cairo,shubra,1500.0
Ad id 194242739,duplex,140.0,2,2,5,no,no,alexandria,nakheel,500000.0
Ad id 193880035,apartment,140.0,3,2,7,no,yes,alexandria,sidi gaber,5200.0
Ad id 194270269,penthouse,220.0,2,3,3,no,no,cairo,new cairo - el tagamoa,4497000.0
Ad id 194288439,studio,50.0,1,1,1,yes,yes,giza,sheikh zayed,9500.0
Ad id 194270007,apartment,245.0,3,3,ground,yes,no,cairo,madinaty,3600000.0
Ad id 194132123,duplex,450.0,5,3,ground,yes,yes,cairo,new cairo - el tagamoa,35000.0
Ad id 194283135,apartment,136.0,2,2,3,,no,cairo,new cairo - el tagamoa,2130000.0
Ad id 194230082,apartment,140.0,2,3,ground,,yes,cairo,new cairo - el tagamoa,18000.0
Ad id 194133624,apartment,110.0,2,2,3,yes,yes,cairo,madinaty,17000.0
Ad id 194306047,apartment,160.0,3,3,1,no,no,cairo,new cairo - el tagamoa,1140000.0
Ad id 194361285,apartment,200.0,3,3,10,no,yes,cairo,zahraa al maadi,10000.0
Ad id 194285532,apartment,215.0,3,3,2,no,no,cairo,new cairo - el tagamoa,6850000.0
Ad id 192881632,apartment,225.0,3,3,1,no,no,cairo,new cairo - el tagamoa,2550000.0
Ad id 192606087,apartment,200.0,4,3,ground,no,no,cairo,new cairo - el tagamoa,2620000.0
Ad id 194367104,apartment,154.0,3,3,1,no,no,cairo,new cairo - el tagamoa,6003000.0
Ad id 194365446,apartment,96.0,2,2,4,no,yes,cairo,madinaty,6000.0
Ad id 194368288,apartment,125.0,2,1,3,yes,yes,alexandria,mandara,250.0
Ad id 194168479,studio,45.0,1,1,ground,yes,yes,cairo,madinaty,6500.0
Ad id 194299085,apartment,150.0,3,2,1,,no,giza,6th of october,1350000.0
Ad id 194366536,apartment,144.0,3,2,2,no,no,giza,sheikh zayed,5800000.0
Ad id 194101378,apartment,190.0,3,2,ground,yes,yes,giza,hadayek al-ahram,9500.0
Ad id 194093943,apartment,82.0,2,1,2,yes,yes,cairo,madinaty,8000.0
Ad id 194315406,apartment,60.0,2,1,6,no,yes,alexandria,sidi beshr,1800.0
Ad id 194285378,duplex,400.0,4,4,ground,no,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 194283142,apartment,123.0,3,2,3,,no,giza,sheikh zayed,1700000.0
Ad id 194286916,apartment,175.0,3,2,1,no,no,cairo,obour city,1250000.0
Ad id 194279372,apartment,90.0,2,1,4,no,no,alexandria,nakheel,310000.0
Ad id 194289181,apartment,145.0,3,2,7,,yes,asyut,asyut city,5000.0
Ad id 194093765,apartment,70.0,2,1,2,no,yes,cairo,new cairo - el tagamoa,3000.0
Ad id 194240215,apartment,100.0,3,1,3,,no,sharqia,zagazig,30000.0
Ad id 194148573,apartment,108.0,3,2,ground,no,yes,cairo,rehab city,10000.0
Ad id 194253419,apartment,150.0,3,2,1,no,no,cairo,madinaty,2200000.0
Ad id 194304194,apartment,175.0,3,2,3,,no,cairo,shorouk city,1150000.0
Ad id 194269820,apartment,160.0,3,3,6,no,no,cairo,new capital city,2400000.0
Ad id 194289348,apartment,320.0,4,4,3,no,no,cairo,madinaty,5750000.0
Ad id 194250011,apartment,150.0,3,2,3,no,yes,cairo,al manial,10000.0
Ad id 194190313,apartment,250.0,3,2,1,no,yes,cairo,nasr city,13000.0
Ad id 194272286,apartment,210.0,3,3,4,no,no,cairo,new capital city,1890000.0
Ad id 194325985,apartment,120.0,3,1,3,no,no,gharbia,tanta,980000.0
Ad id 194196428,apartment,180.0,3,2,ground,no,yes,cairo,new cairo - el tagamoa,7500.0
Ad id 194270957,apartment,131.0,3,2,4,,yes,cairo,rehab city,12000.0
Ad id 194228373,apartment,99.0,2,1,2,no,yes,cairo,rehab city,6500.0
Ad id 194290663,apartment,140.0,3,3,4,yes,yes,giza,sheikh zayed,18000.0
Ad id 194324035,apartment,92.0,2,2,3,no,yes,cairo,madinaty,4800.0
Ad id 194287130,apartment,115.0,3,1,2,no,no,giza,6th of october,590000.0
Ad id 194316447,apartment,160.0,2,3,3,,no,cairo,new cairo - el tagamoa,3800000.0
Ad id 194360589,duplex,230.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,4000000.0
Ad id 194252821,apartment,173.0,3,3,1,,no,cairo,new cairo - el tagamoa,1932450.0
Ad id 194265912,apartment,131.0,3,2,3,no,yes,cairo,rehab city,8500.0
Ad id 190246015,apartment,335.0,4,3,10+,no,no,giza,mohandessin,5000000.0
Ad id 192617714,apartment,164.0,3,1,2,,yes,cairo,new cairo - el tagamoa,11000.0
Ad id 194286588,apartment,300.0,4,3,1,no,yes,cairo,new cairo - el tagamoa,20000.0
Ad id 193795405,apartment,70.0,2,1,4,yes,yes,giza,sheikh zayed,7000.0
Ad id 194272703,apartment,155.0,3,2,3,no,no,cairo,new capital city,880000.0
Ad id 194258539,apartment,105.0,2,1,2,no,yes,cairo,badr city,3000.0
Ad id 194111752,apartment,130.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,4500.0
Ad id 194280957,apartment,200.0,3,3,3,yes,yes,cairo,heliopolis,16000.0
Ad id 194214677,apartment,100.0,3,1,6,no,yes,cairo,ain shams,1600.0
Ad id 193627378,apartment,145.0,2,3,3,,yes,cairo,new cairo - el tagamoa,20000.0
Ad id 194174486,apartment,130.0,3,1,5,no,no,alexandria,nakheel,385000.0
Ad id 193936582,apartment,85.0,2,1,7,,yes,alexandria,seyouf,1000.0
Ad id 194362614,apartment,172.0,3,3,2,,no,giza,sheikh zayed,2100000.0
Ad id 194166756,apartment,250.0,3,2,3,yes,yes,cairo,nasr city,25000.0
Ad id 191257080,duplex,400.0,5,4,ground,no,no,giza,6th of october,1600000.0
Ad id 194265948,apartment,160.0,3,2,3,no,no,cairo,new cairo - el tagamoa,382000.0
Ad id 194316823,apartment,89.0,2,2,1,yes,yes,cairo,madinaty,9000.0
Ad id 194294321,apartment,103.0,3,2,1,no,no,cairo,madinaty,2250000.0
Ad id 194252914,apartment,120.0,2,2,3,yes,yes,cairo,sheraton,600.0
Ad id 194302539,apartment,128.0,2,2,2,no,no,cairo,new cairo - el tagamoa,220000.0
Ad id 194245882,apartment,210.0,4,3,2,no,no,cairo,new cairo - el tagamoa,2415000.0
Ad id 194215106,apartment,170.0,2,2,2,no,no,alexandria,smoha,2650000.0
Ad id 194270731,apartment,200.0,3,3,1,no,no,cairo,new cairo - el tagamoa,3200000.0
Ad id 194164766,apartment,140.0,3,2,ground,,yes,cairo,heliopolis,10000.0
Ad id 193640356,apartment,151.0,3,2,ground,,no,cairo,new cairo - el tagamoa,365000.0
Ad id 194266137,apartment,160.0,3,2,10,no,yes,alexandria,laurent,7300.0
Ad id 194265471,penthouse,166.0,2,3,highest,no,yes,cairo,new cairo - el tagamoa,18000.0
Ad id 194331679,apartment,110.0,2,1,3,yes,yes,cairo,nasr city,588.0
Ad id 194289978,apartment,145.0,3,1,1,no,no,giza,sheikh zayed,1400000.0
Ad id 194287704,apartment,116.0,3,2,5,no,yes,cairo,madinaty,5700.0
Ad id 194361816,apartment,155.0,3,1,ground,no,yes,cairo,new cairo - el tagamoa,10500.0
Ad id 194277672,apartment,50.0,1,1,ground,no,no,alexandria,miami,230000.0
Ad id 194288699,apartment,203.0,3,3,2,no,no,cairo,new capital city,3250000.0
Ad id 194246073,apartment,155.0,3,2,2,no,no,giza,hadayek 6th of october,850000.0
Ad id 194288385,duplex,255.0,4,3,1,no,no,cairo,new cairo - el tagamoa,5899908.0
Ad id 194276195,apartment,99.0,2,1,4,no,yes,cairo,rehab city,6500.0
Ad id 193942805,duplex,300.0,4,3,ground,no,yes,cairo,new cairo - el tagamoa,40000.0
Ad id 194350235,apartment,95.0,2,1,ground,yes,yes,cairo,rehab city,15000.0
Ad id 194124378,apartment,100.0,2,2,1,no,yes,cairo,hadayek al-kobba,2800.0
Ad id 194317702,apartment,185.0,3,2,3,,no,cairo,shorouk city,1050000.0
Ad id 194367388,apartment,175.0,3,2,4,no,no,cairo,sheraton,2200000.0
Ad id 194257037,duplex,400.0,4,3,ground,,no,giza,hadayek al-ahram,2000000.0
Ad id 194179683,apartment,184.0,3,2,4,no,no,alexandria,glim,4444000.0
Ad id 193821659,apartment,170.0,3,3,4,no,no,cairo,new cairo - el tagamoa,8540000.0
Ad id 193683460,apartment,100.0,2,1,10+,no,no,alexandria,sidi beshr,925000.0
Ad id 194040234,apartment,90.0,2,1,9,yes,yes,alexandria,mandara,200.0
Ad id 194316949,apartment,133.0,2,2,2,no,no,giza,6th of october,1900000.0
